,Valor,IPTU_Condicao,Caracteristicas,Tipo,Endereco
97,R$ 260.000,R$ 494 Condo. + IPTU,57 m² · 2 quartos · 1 vaga,Apartamento,"Rua Ocidental, Serrano · Belo Horizonte"
98,R$ 295.000,R$ 461 Condo. + IPTU,52 m² · 2 quartos · 1 vaga,Apartamento,"Rua das Pérolas, Santa Maria · Belo Horizonte"
99,R$ 500.000,R$ 250 Condo. + IPTU,120 m² · 3 quartos · 1 vaga,Apartamento,"Rua São Gotardo, Santa Tereza · Belo Horizonte"
100,R$ 1.200.000,R$ 1.475 Condo. + IPTU,107 m² · 3 quartos · 2 vagas,Apartamento,"Rua da Groenlândia, Sion · Belo Horizonte"
101,R$ 255.000,R$ 367 Condo. + IPTU,72 m² · 3 quartos · 2 vagas,Apartamento,"Rua Julita Nogueira Soares, Santa Terezinha · Belo Horizonte"
102,R$ 750.000,R$ 841 Condo. + IPTU,90 m² · 3 quartos,Apartamento,"Rua dos Timbiras, Funcionários · Belo Horizonte"
103,R$ 350.000,R$ 459 Condo. + IPTU,86 m² · 2 quartos,Apartamento,"Rua dos Aimorés, Funcionários · Belo Horizonte"
104,R$ 375.000,R$ 303 Condo. + IPTU,70 m² · 3 quartos · 2 vagas,Apartamento,"Rua Cambuá, Nova Suíça · Belo Horizonte"
105,R$ 425.000,R$ 915 Condo. + IPTU,103 m² · 3 quartos · 1 vaga,Apartamento,"Rua Gravataí, Serra · Belo Horizonte"
106,R$ 690.000,R$ 553 Condo. + IPTU,78 m² · 3 quartos · 2 vagas,Apartamento,"Rua Paraguassú, Prado · Belo Horizonte"
107,R$ 380.000,R$ 550 Condo. + IPTU,100 m² · 3 quartos · 1 vaga,Apartamento,"Rua Deputado Álvaro Sáles, Santo Antônio · Belo Horizonte"
108,R$ 350.000,R$ 668 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua Horta Barbosa, Nova Floresta · Belo Horizonte"
109,R$ 1.990.000,R$ 1.349 Condo. + IPTU,170 m² · 2 quartos · 2 vagas,Apartamento,"Rua Desembargador Jorge Fontana, Belvedere · Belo Horizonte"
110,R$ 450.000,R$ 579 Condo. + IPTU,95 m² · 3 quartos · 2 vagas,Apartamento,"Rua Guilherme de Almeida, Santo Antônio · Belo Horizonte"
111,R$ 450.000,R$ 401 Condo. + IPTU,123 m² · 2 quartos · 1 vaga,Apartamento,"Rua Desembargador José Satyro, Castelo · Belo Horizonte"
112,R$ 692.000,R$ 122 Condo. + IPTU,180 m² · 2 quartos · 4 vagas,Casa,"Rua Azárias Duarte, Diamante · Belo Horizonte"
113,R$ 390.000,R$ 117 Condo. + IPTU,180 m² · 3 quartos · 3 vagas,Casa,"R. Conselheiro Mata, Santo André · Belo Horizonte"
114,R$ 729.000,R$ 827 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua Conde de Linhares, Coracao de Jesus · Belo Horizonte"
115,R$ 330.000,R$ 748 Condo. + IPTU,73 m² · 3 quartos · 1 vaga,Apartamento,"Rua Perdizes, Padre Eustáquio · Belo Horizonte"
116,R$ 150.000,R$ 0 Condo. + IPTU,120 m² · 2 quartos,Casa,"Beco da Mangueira, São Tomáz · Belo Horizonte"
117,R$ 450.000,R$ 1.015 Condo. + IPTU,40 m² · 1 quarto · 1 vaga,Apartamento,"Avenida do Contorno, Santo Agostinho · Belo Horizonte"
118,R$ 400.000,R$ 60 Condo. + IPTU,200 m² · 3 quartos · 3 vagas,Casa,"Rua João Pachêco da Cruz, Bernardo Monteiro · Belo Horizonte"
119,R$ 1.099.000,R$ 1.020 Condo. + IPTU,125 m² · 4 quartos · 2 vagas,Apartamento,"Rua General Andrade Neves, Gutierrez · Belo Horizonte"
120,R$ 400.000,R$ 60 Condo. + IPTU,200 m² · 3 quartos · 3 vagas,Casa,"Rua João Pachêco da Cruz, Bernardo Monteiro · Belo Horizonte"
121,R$ 380.000,R$ 395 Condo. + IPTU,80 m² · 2 quartos · 1 vaga,Apartamento,"Rua Cecília Fonseca Coutinho, Castelo · Belo Horizonte"
122,R$ 1.099.000,R$ 1.020 Condo. + IPTU,125 m² · 4 quartos · 2 vagas,Apartamento,"Rua General Andrade Neves, Gutierrez · Belo Horizonte"
123,R$ 255.000,R$ 233 Condo. + IPTU,109 m² · 2 quartos · 1 vaga,Apartamento,"Rua Cândido de Souza, Nova Gameleira · Belo Horizonte"
124,R$ 250.000,R$ 0 Condo. + IPTU,75 m² · 3 quartos · 1 vaga,Apartamento,"Rua Zínia, Havaí · Belo Horizonte"
125,R$ 580.000,R$ 944 Condo. + IPTU,80 m² · 3 quartos · 1 vaga,Apartamento,"Rua Nunes Viêira, Santo Antônio · Belo Horizonte"
126,R$ 750.000,R$ 600 Condo. + IPTU,90 m² · 3 quartos · 2 vagas,Apartamento,"Rua Ministro Ivan Lins, Dona Clara · Belo Horizonte"
127,R$ 797.000,R$ 1.157 Condo. + IPTU,78 m² · 2 quartos · 3 vagas,Apartamento,"Rua Equador, São Pedro · Belo Horizonte"
128,R$ 650.000,R$ 1.150 Condo. + IPTU,170 m² · 3 quartos · 1 vaga,Apartamento,"Rua Patagônia, Sion · Belo Horizonte"
129,R$ 320.000,R$ 0 Condo. + IPTU,140 m² · 3 quartos,Casa,"Rua Maria Rita, Ipiranga · Belo Horizonte"
130,R$ 650.000,R$ 833 Condo. + IPTU,67 m² · 2 quartos · 2 vagas,Apartamento,"Rua Colômbia, Sion · Belo Horizonte"
131,R$ 330.000,R$ 647 Condo. + IPTU,75 m² · 2 quartos · 2 vagas,Apartamento,"Rua Vereador Nelson Cunha, Estoril · Belo Horizonte"
132,R$ 480.000,R$ 851 Condo. + IPTU,69 m² · 2 quartos · 1 vaga,Apartamento,"Rua Viçosa, São Pedro · Belo Horizonte"
133,R$ 1.250.000,R$ 1.351.000 Condo. + IPTU,150 m² · 4 quartos · 4 vagas,Apartamento,"Rua Engenheiro Alberto Pontes, Buritis · Belo Horizonte"
