,Valor,IPTU_Condicao,Caracteristicas,Tipo,Endereco
680,R$ 525.000,R$ 300 Condo. + IPTU,62 m² · 2 quartos · 2 vagas,Apartamento,"Rua Domingos Fernandes, União · Belo Horizonte"
681,R$ 635.000,R$ 1.125 Condo. + IPTU,85 m² · 3 quartos · 2 vagas,Apartamento,"Rua Lauro Ferreira, Buritis · Belo Horizonte"
682,R$ 635.000,R$ 1.225 Condo. + IPTU,80 m² · 2 quartos · 1 vaga,Apartamento,"Rua Patagônia, Sion · Belo Horizonte"
683,R$ 1.150.000,R$ 1.080 Condo. + IPTU,152 m² · 3 quartos · 3 vagas,Apartamento,"Rua Dom José Gaspar, Coração Eucarístico · Belo Horizonte"
684,R$ 430.000,R$ 517 Condo. + IPTU,84 m² · 3 quartos · 1 vaga,Apartamento,"Rua Doutor Júlio Otaviano Ferreira, Cidade Nova · Belo Horizonte"
685,R$ 679.000,R$ 1.280 Condo. + IPTU,126 m² · 3 quartos · 2 vagas,Apartamento,"Rua Frei Martinho Burnier, Paquetá · Belo Horizonte"
686,R$ 285.000,R$ 291 Condo. + IPTU,50 m² · 2 quartos · 1 vaga,Apartamento,"Rua Ana Pereira Menezes, Vila São Gabriel · Belo Horizonte"
687,R$ 425.000,R$ 590 Condo. + IPTU,33 m² · 1 quarto · 1 vaga,Apartamento,"Rua São Paulo, Lourdes · Belo Horizonte"
688,R$ 329.000,R$ 317 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Rua Melo Teixeira, Álvaro Camargos · Belo Horizonte"
689,R$ 580.000,R$ 450 Condo. + IPTU,110 m² · 3 quartos · 1 vaga,Apartamento,"Rua José do Patrocínio, Padre Eustáquio · Belo Horizonte"
690,R$ 239.000,R$ 235 Condo. + IPTU,50 m² · 2 quartos · 1 vaga,Apartamento,"Rua Raul Seixas, Manacás · Belo Horizonte"
691,R$ 620.000,R$ 500 Condo. + IPTU,172 m² · 3 quartos · 3 vagas,Apartamento,"Rua Cardeal Stepinac, Cidade Nova · Belo Horizonte"
692,R$ 360.000,R$ 540 Condo. + IPTU,75 m² · 2 quartos · 2 vagas,Apartamento,"Rua Jacutinga, Padre Eustáquio · Belo Horizonte"
693,R$ 200.000,R$ 150 Condo. + IPTU,55 m² · 2 quartos · 1 vaga,Apartamento,"Rua Crepúsculo, Califórnia · Belo Horizonte"
694,R$ 680.000,R$ 610 Condo. + IPTU,76 m² · 3 quartos · 2 vagas,Apartamento,"Av. Dom José Gaspar, Coração Eucarístico · Belo Horizonte"
695,R$ 690.000,R$ 775 Condo. + IPTU,50 m² · 1 quarto · 2 vagas,Apartamento,"Rua Sergipe, Boa Viagem · Belo Horizonte"
696,R$ 520.000,R$ 692 Condo. + IPTU,95 m² · 3 quartos · 1 vaga,Apartamento,"Rua Caratinga, Anchieta · Belo Horizonte"
697,R$ 650.000,R$ 865 Condo. + IPTU,115 m² · 3 quartos,Apartamento,"Rua dos Guajajaras, Lourdes · Belo Horizonte"
698,R$ 430.000,R$ 0 Condo. + IPTU,70 m² · 3 quartos · 3 vagas,Apartamento,"Rua José Cleto, Santa Cruz · Belo Horizonte"
699,R$ 570.000,R$ 740 Condo. + IPTU,86 m² · 3 quartos · 2 vagas,Apartamento,"Rua João Gualberto Filho, Sagrada Família · Belo Horizonte"
700,R$ 545.000,R$ 576 Condo. + IPTU,54 m² · 1 quarto · 1 vaga,Apartamento,"Rua Sergipe, Centro · Belo Horizonte"
701,R$ 550.000,R$ 533 Condo. + IPTU,100 m² · 3 quartos · 1 vaga,Apartamento,"Rua Valparaíso, Sion · Belo Horizonte"
702,R$ 710.000,R$ 0 Condo. + IPTU,112 m² · 3 quartos · 2 vagas,Casa,"Rua Antônio Olinto, Esplanada · Belo Horizonte"
703,R$ 699.000,R$ 450 Condo. + IPTU,106 m² · 4 quartos · 2 vagas,Apartamento,"Rua Castelo de Edimburgo, Castelo · Belo Horizonte"
704,R$ 250.000,R$ 171 Condo. + IPTU,58 m² · 2 quartos · 1 vaga,Casa em condomínio,"Rua Pedra Negra, São Gabriel · Belo Horizonte"
705,R$ 300.000,R$ 492 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua Olinto Magalhães, Padre Eustáquio · Belo Horizonte"
706,R$ 395.000,R$ 572 Condo. + IPTU,60 m² · 2 quartos · 2 vagas,Apartamento,"Rua Ernani Agricola, Buritis · Belo Horizonte"
707,R$ 495.000,R$ 518 Condo. + IPTU,180 m² · 4 quartos · 2 vagas,Apartamento,"Rua Nísio Batista de Oliveira, São Lucas · Belo Horizonte"
708,R$ 320.000,R$ 403 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua Olimpus, Ana Lúcia · Belo Horizonte"
709,R$ 725.000,R$ 767 Condo. + IPTU,105 m² · 3 quartos · 2 vagas,Apartamento,"Rua Henrique Gorceix, Monsenhor Messias · Belo Horizonte"
710,R$ 150.000,R$ 155 Condo. + IPTU,50 m² · 2 quartos · 1 vaga,Apartamento,"Rua Campo Verde, Juliana · Belo Horizonte"
711,R$ 949.000,R$ 1.141 Condo. + IPTU,67 m² · 2 quartos · 1 vaga,Apartamento,"Rua Juíz de Fora, Santo Agostinho · Belo Horizonte"
712,R$ 300.000,R$ 350 Condo. + IPTU,115 m² · 3 quartos · 2 vagas,Apartamento,"Rua das Gabirobas, Vila Cloris · Belo Horizonte"
713,R$ 295.000,R$ 308 Condo. + IPTU,83 m² · 3 quartos · 1 vaga,Apartamento,"Rua Cantagalo, Aparecida · Belo Horizonte"
714,R$ 780.000,R$ 634 Condo. + IPTU,170 m² · 3 quartos · 2 vagas,Apartamento,"Rua Princesa Leopoldina, Ipiranga · Belo Horizonte"
715,R$ 280.000,R$ 392 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua Livramento, Alto dos Pinheiros · Belo Horizonte"
716,R$ 230.000,R$ 100 Condo. + IPTU,55 m² · 3 quartos · 1 vaga,Apartamento,"Rua Capanema, Coqueiros · Belo Horizonte"
717,R$ 1.099.000,R$ 1.100 Condo. + IPTU,113 m² · 2 quartos · 1 vaga,Apartamento,"Rua dos Aimorés, Lourdes · Belo Horizonte"
718,R$ 500.000,R$ 575 Condo. + IPTU,92 m² · 2 quartos · 2 vagas,Apartamento,"Rua Expedicionário Célso Raciopi, Ouro Preto · Belo Horizonte"
719,R$ 550.000,R$ 518 Condo. + IPTU,104 m² · 3 quartos · 2 vagas,Apartamento,"Rua João Arantes, Cidade Nova · Belo Horizonte"
720,R$ 195.000,R$ 362 Condo. + IPTU,55 m² · 2 quartos · 1 vaga,Apartamento,"Rua Brunelo de Montaltino, Lugar Denominado Coqueiros · Belo Horizonte"
721,R$ 949.000,R$ 1.141 Condo. + IPTU,67 m² · 2 quartos · 1 vaga,Apartamento,"Rua Juíz de Fora, Santo Agostinho · Belo Horizonte"
722,R$ 300.000,R$ 350 Condo. + IPTU,115 m² · 3 quartos · 2 vagas,Apartamento,"Rua das Gabirobas, Vila Cloris · Belo Horizonte"
723,R$ 780.000,R$ 634 Condo. + IPTU,170 m² · 3 quartos · 2 vagas,Apartamento,"Rua Princesa Leopoldina, Ipiranga · Belo Horizonte"
724,R$ 460.000,R$ 430 Condo. + IPTU,96 m² · 3 quartos · 1 vaga,Apartamento,"Rua Oscar Trompowsky, Gutierrez · Belo Horizonte"
725,R$ 280.000,R$ 392 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua Livramento, Alto dos Pinheiros · Belo Horizonte"
726,R$ 1.099.000,R$ 1.100 Condo. + IPTU,113 m² · 2 quartos · 1 vaga,Apartamento,"Rua dos Aimorés, Lourdes · Belo Horizonte"
727,R$ 500.000,R$ 575 Condo. + IPTU,92 m² · 2 quartos · 2 vagas,Apartamento,"Rua Expedicionário Célso Raciopi, Ouro Preto · Belo Horizonte"
728,R$ 550.000,R$ 518 Condo. + IPTU,104 m² · 3 quartos · 2 vagas,Apartamento,"Rua João Arantes, Cidade Nova · Belo Horizonte"
729,R$ 680.000,R$ 600 Condo. + IPTU,100 m² · 3 quartos · 2 vagas,Apartamento,"Avenida Miguel Perrela, Castelo · Belo Horizonte"
730,R$ 400.000,R$ 600 Condo. + IPTU,80 m² · 3 quartos · 2 vagas,Apartamento,"Rua Doutor Juvenal dos Santos, Luxemburgo · Belo Horizonte"
731,R$ 185.000,R$ 2 Condo. + IPTU,45 m² · 2 quartos · 1 vaga,Apartamento,"Rua Itaóca, Guarujá · Belo Horizonte"
732,R$ 450.000,R$ 529 Condo. + IPTU,88 m² · 2 quartos · 2 vagas,Apartamento,"Rua Professor Carlos Tunes, Palmeiras · Belo Horizonte"
733,R$ 350.000,R$ 0 Condo. + IPTU,80 m² · 2 quartos · 1 vaga,Casa,"Rua Vesta, Alto dos Pinheiros · Belo Horizonte"
734,R$ 285.000,R$ 463 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Rua Corretor Juventino de Jesus, Santa Mônica · Belo Horizonte"
735,R$ 780.000,R$ 594 Condo. + IPTU,85 m² · 3 quartos · 2 vagas,Apartamento,"Rua Elson Nunes de Souza, Castelo · Belo Horizonte"
736,R$ 700.000,R$ 950 Condo. + IPTU,76 m² · 3 quartos · 2 vagas,Apartamento,"Rua Araripe, Floresta · Belo Horizonte"
737,R$ 750.000,R$ 985 Condo. + IPTU,155 m² · 3 quartos · 2 vagas,Apartamento,"Rua Verdum, Grajaú · Belo Horizonte"
738,R$ 390.000,R$ 563 Condo. + IPTU,95 m² · 3 quartos · 1 vaga,Apartamento,"Rua Armindo Chaves, Alto Barroca · Belo Horizonte"
739,R$ 370.000,R$ 584 Condo. + IPTU,53 m² · 2 quartos · 1 vaga,Apartamento,"Rua Maria Clara Tavares, Castelo · Belo Horizonte"
740,R$ 290.000,R$ 317 Condo. + IPTU,44 m² · 2 quartos · 1 vaga,Apartamento,"Rua António Carvalho, Juliana · Belo Horizonte"
741,R$ 440.000,R$ 333 Condo. + IPTU,61 m² · 2 quartos · 2 vagas,Apartamento,"Rua Raimunda Simões da Silva, Manacás · Belo Horizonte"
742,R$ 360.000,R$ 558 Condo. + IPTU,74 m² · 2 quartos · 1 vaga,Apartamento,"Rua Antônio de Andrade Mendes, Palmeiras · Belo Horizonte"
743,R$ 185.000,R$ 150 Condo. + IPTU,49 m² · 2 quartos · 1 vaga,Apartamento,"Rua Joaquim Gonçalves Pimenta, Camargos · Belo Horizonte"
744,R$ 169.000,R$ 274 Condo. + IPTU,48 m² · 2 quartos · 1 vaga,Apartamento,"Rua Acácio Costa Júnior, Juliana · Belo Horizonte"
745,R$ 400.000,R$ 605 Condo. + IPTU,55 m² · 2 quartos · 1 vaga,Apartamento,"Rua Carmelita Prates da Silva, Salgado Filho · Belo Horizonte"
746,R$ 720.000,R$ 684 Condo. + IPTU,125 m² · 3 quartos · 2 vagas,Apartamento,"Rua Rodrigues Caldas, Lourdes · Belo Horizonte"
747,R$ 1.100.000,R$ 1.525 Condo. + IPTU,117 m² · 4 quartos · 3 vagas,Apartamento,"Rua Professora Bartira Mourão, Buritis · Belo Horizonte"
748,R$ 1.235.000,R$ 1.000 Condo. + IPTU,110 m² · 3 quartos · 2 vagas,Apartamento,"Rua Padre Odorico, São Pedro · Belo Horizonte"
749,R$ 690.000,R$ 750 Condo. + IPTU,200 m² · 3 quartos · 1 vaga,Apartamento,"Rua Bicalho Tostes, Anchieta · Belo Horizonte"
750,R$ 580.000,R$ 760 Condo. + IPTU,65 m² · 3 quartos · 2 vagas,Apartamento,"Rua Teodoro de Abreu, Nova Suíça · Belo Horizonte"
751,R$ 450.000,R$ 948 Condo. + IPTU,70 m² · 3 quartos · 2 vagas,Apartamento,"Rua Valença, Carlos Prates · Belo Horizonte"
752,R$ 550.000,R$ 460 Condo. + IPTU,170 m² · 3 quartos · 1 vaga,Apartamento,"Rua Sapucai Mirim, Itapoã · Belo Horizonte"
753,R$ 295.000,R$ 194 Condo. + IPTU,66 m² · 2 quartos · 1 vaga,Apartamento,"Rua Divisa Nova, Salgado Filho · Belo Horizonte"
754,R$ 340.000,R$ 770 Condo. + IPTU,65 m² · 2 quartos · 1 vaga,Apartamento,"Rua Zurick, Nova Suíça · Belo Horizonte"
755,R$ 450.000,R$ 530 Condo. + IPTU,112 m² · 3 quartos · 2 vagas,Apartamento,"Rua Trifana, Serra · Belo Horizonte"
756,R$ 400.000,R$ 605 Condo. + IPTU,55 m² · 2 quartos · 1 vaga,Apartamento,"Rua Carmelita Prates da Silva, Salgado Filho · Belo Horizonte"
757,R$ 720.000,R$ 684 Condo. + IPTU,125 m² · 3 quartos · 2 vagas,Apartamento,"Rua Rodrigues Caldas, Lourdes · Belo Horizonte"
758,R$ 480.000,R$ 627 Condo. + IPTU,66 m² · 3 quartos · 2 vagas,Apartamento,"Rua Pouso Alegre, Colégio Batista · Belo Horizonte"
759,R$ 1.235.000,R$ 1.000 Condo. + IPTU,110 m² · 3 quartos · 2 vagas,Apartamento,"Rua Padre Odorico, São Pedro · Belo Horizonte"
760,R$ 580.000,R$ 760 Condo. + IPTU,65 m² · 3 quartos · 2 vagas,Apartamento,"Rua Teodoro de Abreu, Nova Suíça · Belo Horizonte"
761,R$ 450.000,R$ 948 Condo. + IPTU,70 m² · 3 quartos · 2 vagas,Apartamento,"Rua Valença, Carlos Prates · Belo Horizonte"
762,R$ 550.000,R$ 460 Condo. + IPTU,170 m² · 3 quartos · 1 vaga,Apartamento,"Rua Sapucai Mirim, Itapoã · Belo Horizonte"
763,R$ 295.000,R$ 194 Condo. + IPTU,66 m² · 2 quartos · 1 vaga,Apartamento,"Rua Divisa Nova, Salgado Filho · Belo Horizonte"
764,R$ 340.000,R$ 770 Condo. + IPTU,65 m² · 2 quartos · 1 vaga,Apartamento,"Rua Zurick, Nova Suíça · Belo Horizonte"
765,R$ 450.000,R$ 95 Condo. + IPTU,79 m² · 3 quartos · 2 vagas,Casa,"Rua Ava, Juliana · Belo Horizonte"
766,R$ 450.000,R$ 530 Condo. + IPTU,112 m² · 3 quartos · 2 vagas,Apartamento,"Rua Trifana, Serra · Belo Horizonte"
767,R$ 700.000,R$ 442 Condo. + IPTU,207 m² · 3 quartos · 2 vagas,Apartamento,"Rua Astolfo Dutra, Pompéia · Belo Horizonte"
768,R$ 680.000,R$ 1 Condo. + IPTU,300 m² · 3 quartos · 4 vagas,Casa,"Rua Gonçalo Alves, Concórdia · Belo Horizonte"
769,R$ 475.000,R$ 500 Condo. + IPTU,110 m² · 3 quartos · 2 vagas,Apartamento,"Rua Expedicionário Celso Racioppe, Ouro Preto · Belo Horizonte"
770,R$ 499.000,R$ 284 Condo. + IPTU,72 m² · 2 quartos · 2 vagas,Apartamento,"Rua Otávio Otoní, União · Belo Horizonte"
771,R$ 695.000,R$ 367 Condo. + IPTU,200 m² · 3 quartos · 2 vagas,Apartamento,"Rua Eduardo Lopes, Santo André · Belo Horizonte"
772,R$ 500.000,R$ 418 Condo. + IPTU,72 m² · 2 quartos · 1 vaga,Apartamento,"Rua Selênio, Prado · Belo Horizonte"
773,R$ 780.000,R$ 743 Condo. + IPTU,200 m² · 3 quartos · 2 vagas,Apartamento,"Rua Stella Hanriot, Buritis · Belo Horizonte"
774,R$ 340.000,R$ 730 Condo. + IPTU,78 m² · 3 quartos · 2 vagas,Apartamento,"Rua Frederico Bracher Júnior, Padre Eustáquio · Belo Horizonte"
775,R$ 549.000,R$ 854 Condo. + IPTU,60 m² · 2 quartos · 2 vagas,Apartamento,"Rua Júlio de Castilho, Cinquentenario · Belo Horizonte"
776,R$ 430.000,R$ 300 Condo. + IPTU,100 m² · 3 quartos · 1 vaga,Apartamento,"Rua das Camélias, Nova Suíça · Belo Horizonte"
777,R$ 578.000,R$ 549 Condo. + IPTU,85 m² · 3 quartos · 2 vagas,Apartamento,"Rua Castelo da Feira, Castelo · Belo Horizonte"
778,R$ 560.000,R$ 988 Condo. + IPTU,80 m² · 3 quartos · 2 vagas,Apartamento,"Rua Monte Simplon, Nova Suíça · Belo Horizonte"
779,R$ 270.000,R$ 290 Condo. + IPTU,76 m² · 3 quartos · 1 vaga,Apartamento,"Rua Limeira, Piratininga · Belo Horizonte"
780,R$ 180.000,R$ 278 Condo. + IPTU,49 m² · 2 quartos · 1 vaga,Apartamento,"Rua Ana Pereira Menezes, Vila São Gabriel · Belo Horizonte"
781,R$ 310.000,R$ 218 Condo. + IPTU,51 m² · 2 quartos · 1 vaga,Apartamento,"Rua Creta, Ana Lúcia · Belo Horizonte"
782,R$ 570.000,R$ 811 Condo. + IPTU,132 m² · 3 quartos · 2 vagas,Apartamento,"Rua São Jerônimo, Sagrada Família · Belo Horizonte"
783,R$ 645.000,R$ 892 Condo. + IPTU,120 m² · 4 quartos · 2 vagas,Apartamento,"Rua Stella Hanriot, Buritis · Belo Horizonte"
784,R$ 519.000,R$ 297 Condo. + IPTU,63 m² · 2 quartos · 2 vagas,Apartamento,"Rua Raimunda Simões da Silva, Manacás · Belo Horizonte"
785,R$ 418.000,R$ 557 Condo. + IPTU,75 m² · 3 quartos · 1 vaga,Apartamento,"Avenida Silva Lobo, Nova Granada · Belo Horizonte"
786,R$ 475.000,R$ 634 Condo. + IPTU,120 m² · 3 quartos · 1 vaga,Apartamento,"Rua Augusto Moreira, Jardim Atlântico · Belo Horizonte"
787,R$ 259.800,,35 m² · 1 quarto · 1 vaga,Apartamento,"Rua Stela de Souza, Sagrada Família · Belo Horizonte"
788,R$ 490.000,R$ 749 Condo. + IPTU,59 m² · 2 quartos · 2 vagas,Apartamento,"Rua Pouso Alegre, Horto · Belo Horizonte"
789,R$ 570.000,R$ 415 Condo. + IPTU,80 m² · 2 quartos · 2 vagas,Apartamento,"Rua Itaí, Santa Efigênia · Belo Horizonte"
790,R$ 830.000,R$ 846 Condo. + IPTU,321 m² · 5 quartos · 4 vagas,Apartamento,"Rua Deputado Bernardino Sena Figueiredo, Cidade Nova · Belo Horizonte"
791,R$ 500.000,R$ 498 Condo. + IPTU,100 m² · 3 quartos · 1 vaga,Apartamento,"Rua Bolívia, São Pedro · Belo Horizonte"
792,R$ 850.000,R$ 949 Condo. + IPTU,83 m² · 3 quartos · 2 vagas,Apartamento,"Rua Eli Seabra Filho, Buritis · Belo Horizonte"
793,R$ 480.000,R$ 560 Condo. + IPTU,90 m² · 3 quartos · 1 vaga,Apartamento,"Rua Jacuí, Ipiranga · Belo Horizonte"
794,R$ 300.000,R$ 341 Condo. + IPTU,70 m² · 3 quartos · 1 vaga,Apartamento,"Rua Frei Martinho Burnier, Ouro Preto · Belo Horizonte"
795,R$ 630.000,R$ 250 Condo. + IPTU,122 m² · 3 quartos · 1 vaga,Casa em condomínio,"Rua Lindolfo de Azevedo, Jardim America · Belo Horizonte"
796,R$ 950.000,R$ 1.073 Condo. + IPTU,90 m² · 3 quartos · 2 vagas,Apartamento,"Rua Castelo de Avis, Castelo · Belo Horizonte"
797,R$ 210.000,R$ 450 Condo. + IPTU,65 m² · 2 quartos,Apartamento,"R. Manoel Macedo, Lagoinha · Belo Horizonte"
798,R$ 466.500,R$ 559 Condo. + IPTU,92 m² · 3 quartos · 1 vaga,Apartamento,"Rua Vander Rodrigues de Lima, Alto Caiçaras · Belo Horizonte"
799,R$ 600.000,R$ 690 Condo. + IPTU,80 m² · 2 quartos · 1 vaga,Apartamento,"Rua Simão Irffi, Coracao de Jesus · Belo Horizonte"
800,R$ 400.000,R$ 340 Condo. + IPTU,92 m² · 2 quartos · 1 vaga,Apartamento,"Rua Desembargador Paula Mota, Ouro Preto · Belo Horizonte"
801,R$ 420.000,R$ 307 Condo. + IPTU,89 m² · 2 quartos · 1 vaga,Apartamento,"Rua Joviano Naves, Palmares · Belo Horizonte"
802,R$ 450.000,R$ 600 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Avenida Nossa Senhora do Carmo, Sion · Belo Horizonte"
803,R$ 750.000,,130 m² · 4 quartos · 2 vagas,Apartamento,"Rua José Viriato Bahia, São Pedro · Belo Horizonte"
804,R$ 400.000,R$ 920 Condo. + IPTU,104 m² · 2 quartos · 1 vaga,Apartamento,"Rua Netuno, Ana Lúcia · Belo Horizonte"
805,R$ 490.000,R$ 832 Condo. + IPTU,85 m² · 3 quartos · 1 vaga,Apartamento,"Rua Professor Aníbal de Matos, Santo Antônio · Belo Horizonte"
806,R$ 490.000,R$ 595 Condo. + IPTU,127 m² · 3 quartos · 1 vaga,Apartamento,"Rua Guaxupé, Serra · Belo Horizonte"
807,R$ 285.000,R$ 459 Condo. + IPTU,53 m² · 2 quartos · 1 vaga,Apartamento,"Rua Osório Duque Estrada, Planalto · Belo Horizonte"
808,R$ 480.000,R$ 420 Condo. + IPTU,88 m² · 3 quartos · 2 vagas,Apartamento,"Rua São Fidélis, Nova Vista · Belo Horizonte"
809,R$ 959.800,R$ 1.116 Condo. + IPTU,60 m² · 2 quartos · 2 vagas,Apartamento,"Rua Juíz de Fora, Santo Agostinho · Belo Horizonte"
810,R$ 360.000,R$ 80 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Casa,"Rua dos Jês, Santa Monica · Belo Horizonte"
811,R$ 690.000,R$ 729 Condo. + IPTU,88 m² · 3 quartos · 2 vagas,Apartamento,"Rua Afonso Ferreira Gomes, Paquetá · Belo Horizonte"
812,R$ 820.000,R$ 650 Condo. + IPTU,63 m² · 2 quartos · 2 vagas,Apartamento,"Rua Pium-í, Cruzeiro · Belo Horizonte"
813,R$ 390.000,R$ 280 Condo. + IPTU,70 m² · 3 quartos · 1 vaga,Apartamento,"R. Santo Amaro, 36 - Brasil, Sagrada Família · Belo Horizonte"
814,R$ 600.000,R$ 527 Condo. + IPTU,85 m² · 3 quartos · 2 vagas,Apartamento,"Rua Castelo de Óbidos, Castelo · Belo Horizonte"
815,R$ 390.000,R$ 533 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Rua Lapinha, Salgado Filho · Belo Horizonte"
816,R$ 150.000,R$ 0 Condo. + IPTU,50 m² · 3 quartos,Apartamento,"R. Aribá- São Cristóvão Belo Horizonte - Mg 31110-760 Brasil, São Cristóvão · Belo Horizonte"
817,R$ 380.000,R$ 306 Condo. + IPTU,93 m² · 3 quartos · 1 vaga,Apartamento,"Rua Viamão, Alto Barroca · Belo Horizonte"
818,R$ 250.000,R$ 230 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Rua São Miguel, Itapoã · Belo Horizonte"
819,R$ 459.000,R$ 503 Condo. + IPTU,90 m² · 3 quartos · 2 vagas,Apartamento,"Rua dos Expedicionários, Santa Amelia · Belo Horizonte"
820,R$ 250.000,R$ 291 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Rua Raul Regis Sena, Maria Helena · Belo Horizonte"
821,R$ 330.000,R$ 610 Condo. + IPTU,55 m² · 2 quartos · 1 vaga,Apartamento,"Rua Alga Verde, Jardim Guanabara · Belo Horizonte"
822,R$ 530.000,R$ 517 Condo. + IPTU,200 m² · 3 quartos · 2 vagas,Apartamento,"Rua Conselheiro Joaquim Caetano, Nova Granada · Belo Horizonte"
823,R$ 520.000,R$ 676 Condo. + IPTU,40 m² · 1 quarto · 1 vaga,Apartamento,"Rua Palmira, Serra · Belo Horizonte"
824,R$ 570.000,R$ 341 Condo. + IPTU,123 m² · 3 quartos · 2 vagas,Apartamento,"Rua Aurélio Lopes, Diamante · Belo Horizonte"
825,R$ 725.000,R$ 518 Condo. + IPTU,92 m² · 3 quartos · 2 vagas,Apartamento,"Rua Vila Rica, Padre Eustáquio · Belo Horizonte"
826,R$ 450.000,R$ 938 Condo. + IPTU,70 m² · 3 quartos · 2 vagas,Apartamento,"Rua Valença, Carlos Prates · Belo Horizonte"
827,R$ 250.000,R$ 95 Condo. + IPTU,65 m² · 2 quartos · 1 vaga,Casa,"Rua Pinhal, Piratininga · Belo Horizonte"
828,R$ 600.000,R$ 363 Condo. + IPTU,133 m² · 3 quartos · 1 vaga,Apartamento,"Rua Professor Tancredo Martins, São Lucas · Belo Horizonte"
829,R$ 445.000,R$ 141 Condo. + IPTU,90 m² · 2 quartos · 1 vaga,Casa,"Rua Montese, Santa Branca · Belo Horizonte"
830,R$ 650.000,R$ 955 Condo. + IPTU,92 m² · 3 quartos · 1 vaga,Apartamento,"Rua Conselheiro Lafaiete, Sagrada Família · Belo Horizonte"
831,R$ 375.000,R$ 769 Condo. + IPTU,85 m² · 3 quartos · 2 vagas,Apartamento,"Rua Francisco Augusto Rocha, Planalto · Belo Horizonte"
832,R$ 743.000,R$ 170 Condo. + IPTU,400 m² · 3 quartos · 6 vagas,Casa,"Rua Jaguaribe, Concórdia · Belo Horizonte"
833,R$ 365.000,R$ 685 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua Paulino Marquês Gontijo, São Lucas · Belo Horizonte"
834,R$ 425.000,R$ 425 Condo. + IPTU,84 m² · 3 quartos · 2 vagas,Apartamento,"Rua Professor Nardelli Bemfica, Fernão Dias · Belo Horizonte"
835,R$ 510.000,R$ 528 Condo. + IPTU,103 m² · 3 quartos · 1 vaga,Apartamento,"Rua Padre Severino, São Pedro · Belo Horizonte"
836,R$ 580.000,R$ 703 Condo. + IPTU,110 m² · 3 quartos · 1 vaga,Apartamento,"Rua Oscar Trompowsky, Gutierrez · Belo Horizonte"
837,R$ 590.000,R$ 1.067 Condo. + IPTU,75 m² · 3 quartos · 2 vagas,Apartamento,"Rua Dom Lúcio Antunes, Coração Eucarístico · Belo Horizonte"
838,R$ 695.000,R$ 690 Condo. + IPTU,105 m² · 3 quartos · 1 vaga,Apartamento,"Rua Bernardino de Lima, Gutierrez · Belo Horizonte"
839,R$ 181.000,R$ 388 Condo. + IPTU,44 m² · 2 quartos · 1 vaga,Apartamento,"R. Padre Argemiro Moreira - São Gabriel Belo Horizonte - Mg 31980 Brasil, São Gabriel · Belo Horizonte"
840,R$ 400.000,R$ 375 Condo. + IPTU,93 m² · 3 quartos · 1 vaga,Apartamento,"Rua Anhanguera, Horto · Belo Horizonte"
841,R$ 280.000,R$ 380 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua Boaventura, Indaiá · Belo Horizonte"
842,R$ 446.000,R$ 627 Condo. + IPTU,55 m² · 2 quartos · 1 vaga,Apartamento,"Rua Juacema, Graça · Belo Horizonte"
843,R$ 840.000,R$ 982 Condo. + IPTU,67 m² · 2 quartos · 1 vaga,Apartamento,"Rua da Bahia, Lourdes · Belo Horizonte"
844,R$ 660.000,R$ 160 Condo. + IPTU,161 m² · 3 quartos · 3 vagas,Casa,"Rua Augusto Passos Maia, Ouro Preto · Belo Horizonte"
845,R$ 734.000,R$ 675 Condo. + IPTU,78 m² · 3 quartos · 2 vagas,Apartamento,"Rua Dom Viçoso, Padre Eustáquio · Belo Horizonte"
846,R$ 220.000,R$ 512 Condo. + IPTU,60 m² · 2 quartos,Apartamento,"Rua Julita Nogueira Soares, Santa Terezinha · Belo Horizonte"
847,R$ 230.000,R$ 269 Condo. + IPTU,55 m² · 2 quartos · 1 vaga,Apartamento,"Rua Campista, Santa Branca · Belo Horizonte"
848,R$ 450.000,R$ 473 Condo. + IPTU,125 m² · 3 quartos · 2 vagas,Apartamento,"Rua Doutor Júlio Otaviano Ferreira, Cidade Nova · Belo Horizonte"
849,R$ 500.000,R$ 366 Condo. + IPTU,110 m² · 3 quartos · 1 vaga,Apartamento,"Rua Indianópolis, Cachoeirinha · Belo Horizonte"
850,R$ 395.000,R$ 300 Condo. + IPTU,79 m² · 3 quartos,Apartamento,"Avenida Professor Mário Werneck, Estoril · Belo Horizonte"
